symptom,specialization
I notice dark spots in my vision,Ophthalmology
I suffer from tremors in my hands,Neurology
I am experiencing fungal infection on my feet,Dermatology
I have elbow pain and stiffness,Orthopedics
I have bipolar disorder symptoms for several days,Psychiatry
I am experiencing small bumps on my skin,Dermatology
I am experiencing a skin rash that won't go away,Dermatology
I experience blackouts and confusion,Neurology
I have eye strain and headaches for several days,Ophthalmology
My child has asthma and wheezing and it's getting worse,Pediatrics
I have hives and itching all over,Dermatology
I get breathless even at rest,Cardiology
My toddler has diarrhea and vomiting for several days,Pediatrics
I have sinus pressure and headache,ENT
I have pink eye symptoms for several days,Ophthalmology
I am experiencing liver problems and jaundice,Gastroenterology
I have knee pain when walking and it's getting worse,Orthopedics
I suffer from chronic migraines with aura,Neurology
My joints are swollen and inflamed for several days,Orthopedics
I suffer from persistent abdominal cramps,Gastroenterology
I suffer from tonsillitis,ENT
I have throat infection and fever,ENT
I suffer from sinus pressure and headache,ENT
My child has rash all over the body and it's getting worse,Pediatrics
I experience unexplained weight loss for several days,General Medicine
I experience indigestion after eating for several days,Gastroenterology
I experience chronic headaches and light sensitivity and it's getting worse,Neurology
I experience fever and chills,General Medicine
I have thyroid problems,General Medicine
I have thyroid problems,General Medicine
I have double vision problems,Ophthalmology
I suffer from irritable bowel syndrome symptoms,Gastroenterology
I experience vertigo and ear problems and it's getting worse,ENT
I have nasal congestion and sinusitis,ENT
I am experiencing chronic lower back ache,Orthopedics
I experience malaise and body aches,General Medicine
I experience ringing in my ears,ENT
I suffer from metabolic syndrome,General Medicine
I have pain in my wrist and fingers,Orthopedics
I have heel pain and can't walk properly and it's getting worse,Orthopedics
I experience eye pain and sensitivity,Ophthalmology
I feel tired all the time,General Medicine
I suffer from sciatica and leg pain,Orthopedics
I suffer from throat infection and fever,ENT
My spine hurts when I bend,Orthopedics
My child refuses to eat anything for several days,Pediatrics
I suffer from food intolerance issues and it's getting worse,Gastroenterology
I see floaters in my vision and it's getting worse,Ophthalmology
I have pressure in my eyes for several days,Ophthalmology
I experience nausea and vomiting,Gastroenterology
I have weakness on one side of my body,Neurology
I have eye strain and headaches,Ophthalmology
I suffer from tonsillitis,ENT
I have hormonal imbalance issues and it's getting worse,General Medicine
My eyes are red and itchy,Ophthalmology
I notice my baby has colic and gas problems,Pediatrics
I experience chronic headaches and light sensitivity,Neurology
I suffer from persistent dizziness,Neurology
I feel pressure in my chest,Cardiology
I suffer from migraines regularly,Neurology
I experience frequent stomach upset,Gastroenterology
My child has asthma and wheezing,Pediatrics
I notice my pulse is irregular and rapid,Cardiology
I am experiencing severe anxiety attacks,Psychiatry
I experience frequent urination,General Medicine
I experience chronic fatigue and sadness,Psychiatry
I feel depressed and hopeless,Psychiatry
I have difficulty breathing when lying down,Cardiology
I feel depressed and hopeless,Psychiatry
I have viral infection symptoms and it's getting worse,General Medicine
I have eczema on my hands,Dermatology
I experience dehydration symptoms for several days,General Medicine
I notice my child has developmental delays,Pediatrics
I experience acid reflux and heartburn and it's getting worse,Gastroenterology
I have persistent abdominal cramps,Gastroenterology
I experience dizziness and vertigo,Neurology
I have watery eyes constantly and it's getting worse,Ophthalmology
I suffer from sports injury in my knee,Orthopedics
I experience frequent nosebleeds,ENT
I am experiencing trouble managing anger,Psychiatry
I am experiencing abdominal bloating and gas,Gastroenterology
I notice warts on my hands,Dermatology
I have severe head pain and nausea and it's getting worse,Neurology
I have nasal congestion and sinusitis for several days,ENT
I notice my pulse is irregular and rapid,Cardiology
I have muscle weakness and fatigue and it's getting worse,Neurology
I have swollen lymph nodes in neck,ENT
I get breathless even at rest,Cardiology
I have arthritis in my hands,Orthopedics
I have itchy skin and rashes,Dermatology
I experience loss of appetite and nausea,Gastroenterology
I have eye strain and headaches for several days,Ophthalmology
I notice warts on my hands,Dermatology
I have pink eye symptoms,Ophthalmology
I experience dehydration symptoms,General Medicine
My child has high fever and cough and it's getting worse,Pediatrics
My toddler has diaper rash,Pediatrics
I suffer from diabetes symptoms and it's getting worse,General Medicine
I experience malaise and body aches for several days,General Medicine
I notice warts on my hands,Dermatology
I feel stressed all the time,Psychiatry
I have difficulty breathing when lying down for several days,Cardiology
My joints are swollen and inflamed,Orthopedics
I have swollen lymph nodes in neck and it's getting worse,ENT
I feel pressure in my chest,Cardiology
I notice dark spots in my vision,Ophthalmology
I experience indigestion after eating,Gastroenterology
I experience mood swings,Psychiatry
I have pink eye symptoms,Ophthalmology
I feel depressed and hopeless and it's getting worse,Psychiatry
My child complains of ear pain,Pediatrics
I am experiencing difficulty breathing when lying down,Cardiology
I have cataracts affecting my vision and it's getting worse,Ophthalmology
My child has persistent cough and cold,Pediatrics
I have shoulder pain and can't lift my arm for several days,Orthopedics
My child has rash all over the body,Pediatrics
I suffer from high blood pressure symptoms,Cardiology
My toddler has diarrhea and vomiting,Pediatrics
My baby has trouble breathing,Pediatrics
I notice yellow discharge from my eyes,Ophthalmology
I suffer from persistent dizziness,Neurology
I suffer from chronic sinusitis,ENT
I experience phobias and fears,Psychiatry
I experience severe acne and scarring,Dermatology
My toddler has diaper rash and it's getting worse,Pediatrics
I feel extremely anxious in public,Psychiatry
My child has stomach pain and fever for several days,Pediatrics
I have ear infection symptoms,ENT
I notice halos around lights for several days,Ophthalmology
I have ear pain and hearing loss and it's getting worse,ENT
I experience indigestion after eating,Gastroenterology
I have itchy skin and rashes,Dermatology
My child refuses to eat anything,Pediatrics
My knees crack and hurt when climbing stairs and it's getting worse,Orthopedics
I experience palpitations and dizziness,Cardiology
I experience loss of smell and taste,ENT
I have pressure in my eyes,Ophthalmology
I have small bumps on my skin and it's getting worse,Dermatology
I am experiencing nasal congestion and sinusitis,ENT
I experience vision problems and headaches,Neurology
My toddler has skin rashes and itching,Pediatrics
I experience chest discomfort after eating,Cardiology
I feel tired all the time for several days,General Medicine
I have vitamin deficiency symptoms for several days,General Medicine
I suffer from persistent cough and cold,General Medicine
My baby has colic and gas problems for several days,Pediatrics
I have frequent severe headaches and it's getting worse,Neurology
I suffer from food intolerance issues,Gastroenterology
I have pain in my left arm and chest,Cardiology
My child has chicken pox symptoms,Pediatrics
I feel tired all the time,General Medicine
I have double vision problems for several days,Ophthalmology
I have swollen lymph nodes in neck,ENT
I experience frequent urination,General Medicine
I have severe stomach pain for several days,Gastroenterology
I suffer from chronic fatigue,General Medicine
I suffer from viral infection symptoms,General Medicine
My toddler has diaper rash,Pediatrics
I suffer from chronic constipation,Gastroenterology
I am experiencing liver problems and jaundice,Gastroenterology
I notice my toddler has diaper rash,Pediatrics
I notice halos around lights,Ophthalmology
I have nasal congestion and sinusitis for several days,ENT
I get seizures occasionally,Neurology
I have eczema on my hands,Dermatology
I experience chest discomfort after eating,Cardiology
I have pink eye symptoms for several days,Ophthalmology
My toddler has diaper rash,Pediatrics
I notice dark spots in my vision,Ophthalmology
I notice dark spots on my face,Dermatology
My skin is very dry and flaky and it's getting worse,Dermatology
I have voice hoarseness,ENT
I suffer from voice hoarseness,ENT
I experience frequent stomach upset and it's getting worse,Gastroenterology
My skin is peeling and irritated and it's getting worse,Dermatology
I notice dark spots in my vision and it's getting worse,Ophthalmology
I get breathless even at rest,Cardiology
I have sinus pressure and headache,ENT
I experience chest discomfort after eating for several days,Cardiology
I get seizures occasionally,Neurology
I experience phobias and fears for several days,Psychiatry
I notice gradual vision deterioration,Ophthalmology
I have joint pain in my shoulders,Orthopedics
I have muscle weakness and fatigue,Neurology
I have neck pain and limited movement,Orthopedics
I experience sudden vision loss,Ophthalmology
I have ear pain and hearing loss and it's getting worse,ENT
I have nerve pain in my legs,Neurology
My spine hurts when I bend,Orthopedics
I am experiencing obsessive thoughts,Psychiatry
My ankle is swollen and painful,Orthopedics
I have pink eye symptoms,Ophthalmology
I feel fatigued and have chest pressure,Cardiology
I have persistent cough and throat irritation,ENT
I have frequent severe headaches,Neurology
My baby has colic and gas problems,Pediatrics
I suffer from chronic acid reflux,Gastroenterology
I suffer from diabetes symptoms,General Medicine
I have itchy skin and rashes,Dermatology
I am experiencing knee pain when walking,Orthopedics
My skin feels hot and inflamed,Dermatology
I have difficulty speaking clearly,Neurology
I notice my child has asthma and wheezing,Pediatrics
I suffer from persistent dizziness for several days,Neurology
I suffer from chronic sinusitis,ENT
My legs swell and I feel chest tightness,Cardiology
I have small bumps on my skin,Dermatology
I suffer from pain radiating to my jaw,Cardiology
My child has chicken pox symptoms,Pediatrics
I notice halos around lights for several days,Ophthalmology
I notice warts on my hands,Dermatology
I have attention deficit symptoms for several days,Psychiatry
My baby has jaundice symptoms and it's getting worse,Pediatrics
I have attention deficit symptoms,Psychiatry
I have neck pain and limited movement,Orthopedics
I have psoriasis patches for several days,Dermatology
I notice my child has rash all over the body,Pediatrics
I experience chronic fatigue and sadness,Psychiatry
I have severe anxiety attacks,Psychiatry
I have neck pain and limited movement,Orthopedics
I experience fever and chills,General Medicine
My eyes are red and itchy,Ophthalmology
I experience mood swings,Psychiatry
I have ear pain and hearing loss,ENT
I am experiencing difficulty speaking clearly,Neurology
I have post-traumatic stress symptoms for several days,Psychiatry
I experience nausea and vomiting,Gastroenterology
I experience dehydration symptoms and it's getting worse,General Medicine
I feel stressed all the time,Psychiatry
My heart beats irregularly sometimes,Cardiology
I have difficulty swallowing food,Gastroenterology
My back hurts constantly for several days,Orthopedics
I have eye strain and headaches and it's getting worse,Ophthalmology
My child has high fever and cough,Pediatrics
I experience dehydration symptoms,General Medicine
I have psoriasis patches,Dermatology
I suffer from chronic fatigue,General Medicine
I have high blood sugar levels and it's getting worse,General Medicine
I suffer from chronic pain,General Medicine
I feel burning sensation in my stomach,Gastroenterology
I have red patches on my arms for several days,Dermatology
My child is not gaining weight properly,Pediatrics
I suffer from small bumps on my skin,Dermatology
My eyes are red and itchy,Ophthalmology
I am experiencing blurry vision,Ophthalmology
I have neck pain and limited movement,Orthopedics
I have pain in my wrist and fingers,Orthopedics
I am feeling tightness in my chest area,Cardiology
I have pain radiating to my jaw,Cardiology
I experience difficulty swallowing and it's getting worse,ENT
I have gallbladder pain after meals and it's getting worse,Gastroenterology
I notice my child complains of ear pain,Pediatrics
I experience chest discomfort after eating,Cardiology
I feel stressed all the time,Psychiatry
I experience palpitations and dizziness for several days,Cardiology
I suffer from post-traumatic stress symptoms,Psychiatry
I experience lower back pain and it's getting worse,Orthopedics
My knees crack and hurt when climbing stairs for several days,Orthopedics
I get seizures occasionally and it's getting worse,Neurology
I have bipolar disorder symptoms for several days,Psychiatry
I have muscle weakness and fatigue,Neurology
My scalp is itchy and flaky,Dermatology
My heart rate is very fast and it's getting worse,Cardiology
I experience dizziness and vertigo,Neurology
I suffer from high blood pressure symptoms,Cardiology
I suffer from heel pain and can't walk properly,Orthopedics
I have shoulder pain and can't lift my arm,Orthopedics
I experience frequent urination,General Medicine
I suffer from liver problems and jaundice,Gastroenterology
I can't sleep at night and it's getting worse,Psychiatry
I notice dark spots on my face and it's getting worse,Dermatology
I have flu-like symptoms,General Medicine
I have viral infection symptoms,General Medicine
I have severe head pain and nausea,Neurology
I suffer from numbness in my hands and feet,Neurology
I am experiencing anemia and weakness,General Medicine
I suffer from sleep apnea symptoms for several days,ENT
My baby has trouble breathing for several days,Pediatrics
I have small bumps on my skin and it's getting worse,Dermatology
My skin is very dry and flaky,Dermatology
I suffer from metabolic syndrome for several days,General Medicine
I notice dark spots in my vision,Ophthalmology
I feel depressed and hopeless,Psychiatry
I experience vertigo and ear problems,ENT
I experience lower back pain and it's getting worse,Orthopedics
I suffer from chronic fatigue,General Medicine
My skin is very dry and flaky,Dermatology
I have hormonal imbalance issues,General Medicine
My baby has trouble breathing and it's getting worse,Pediatrics
I experience severe acne and scarring,Dermatology
I have pressure in my eyes,Ophthalmology
My child has developmental delays for several days,Pediatrics
I notice warts on my hands,Dermatology
I suffer from chronic sinusitis,ENT
I notice yellow discharge from my eyes,Ophthalmology
I experience severe acne and scarring,Dermatology
My child refuses to eat anything,Pediatrics
My child has asthma and wheezing,Pediatrics
I have bipolar disorder symptoms,Psychiatry
My child has persistent cough and cold,Pediatrics
My toddler has skin rashes and itching for several days,Pediatrics
My child has stomach pain and fever,Pediatrics
I experience palpitations and dizziness and it's getting worse,Cardiology
My child has allergies and sneezing,Pediatrics
My eyes are red and itchy,Ophthalmology
I have red patches on my arms,Dermatology
I have itchy skin and rashes,Dermatology
I suffer from tonsillitis,ENT
I have shoulder pain and can't lift my arm,Orthopedics
I have blood in my stool,Gastroenterology
My knees crack and hurt when climbing stairs,Orthopedics
I experience ringing in my ears,ENT
I have itchy skin and rashes and it's getting worse,Dermatology
I have chronic constipation,Gastroenterology
